,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,clusters,cluster
492,65.0,3,23,0.25,1,115,0,pink
493,122.0,2,126,1.22,2,310,1,purple
494,55.0,2,2,0.03,1,0,0,pink
495,65.0,3,34,0.48,1,293,1,purple
496,31.0,185,19,0.18,1,285,1,purple
497,89.0,7,22,0.41,1,74,0,pink
498,500.0,5,6,0.06,1,365,1,purple
499,61.0,90,44,0.42,1,260,1,purple
500,47.0,5,69,0.7,1,28,0,pink
501,72.0,1,11,0.13,1,0,0,pink
502,62.0,4,22,0.55,1,10,0,pink
503,65.0,4,13,0.13,1,0,0,pink
504,30.0,3,6,0.06,2,0,0,pink
505,84.0,60,18,0.18,1,318,1,purple
506,50.0,7,1,0.01,1,0,0,pink
507,44.0,60,31,0.41,2,130,0,pink
508,90.0,7,21,0.29,3,253,1,purple
509,40.0,15,6,0.09,1,305,1,purple
510,69.0,3,166,1.92,2,112,0,pink
511,105.0,4,20,0.28,1,326,1,purple
512,114.0,181,31,0.3,4,225,1,purple
513,114.0,181,34,0.35,4,15,0,pink
514,119.0,10,10,0.15,2,364,1,purple
515,80.0,118,44,0.45,2,0,0,pink
516,20.0,3,9,0.15,4,304,1,purple
517,100.0,10,2,0.02,1,346,1,purple
518,70.0,6,12,0.12,1,344,1,purple
519,104.0,181,31,0.41,4,225,1,purple
520,34.0,2,50,0.67,3,276,1,purple
521,57.0,2,109,2.84,2,342,1,purple
522,39.0,2,6,0.06,1,137,0,pink
523,141.0,2,14,0.16,2,0,0,pink
524,24.0,2,39,0.62,1,285,1,purple
525,32.0,1,31,0.39,1,313,1,purple
526,70.0,2,330,3.35,1,261,1,purple
527,46.0,89,7,0.08,3,74,0,pink
528,74.0,200,1,0.01,1,364,1,purple
529,69.0,3,170,2.05,2,288,1,purple
530,45.0,2,6,0.06,2,365,1,purple
531,74.0,1,87,0.89,1,356,1,purple
532,120.0,2,232,2.29,1,321,1,purple
533,17.0,5,5,0.09,1,0,0,pink
534,110.0,7,108,1.27,1,119,0,pink
535,59.0,4,27,0.33,2,332,1,purple
